jobId,vmId,status,statusName,classType,submissionTime,readyTime,startTime,finishTime,totalWaitingTime,vmQueueWaitingTime,executionTime,responseTime,cpuTime,taskCount,modeledCpuCost,modeledBandwidthCost,modeledTotalCost,modeledFileBytes
25,0,4,SUCCESS,1,0.100000,0.000000,0.100000,0.210000,0.100000,0.000000,0.110000,0.110000,0.110000,0,0.330000,2.111262,2.441262,21112623.000000
2,0,4,SUCCESS,2,0.210000,0.210000,0.210000,13.851000,0.000000,0.000000,13.641000,13.641000,13.641000,1,40.923000,1.253663,42.176663,12536628.000000
0,1,4,SUCCESS,2,0.210000,0.210000,0.210000,13.961000,0.000000,0.000000,13.751000,13.751000,13.751000,1,41.253000,1.255701,42.508701,12557008.000000
3,2,4,SUCCESS,2,0.210000,0.210000,0.210000,14.091000,0.000000,0.000000,13.881000,13.881000,13.881000,1,41.643000,1.257039,42.900039,12570392.000000
4,3,4,SUCCESS,2,0.210000,0.210000,0.210000,14.271000,0.000000,0.000000,14.061000,14.061000,14.061000,1,42.183000,1.252943,43.435943,12529426.000000
10,1,4,SUCCESS,2,13.961000,13.851000,13.961000,25.025000,0.110000,0.000000,11.064000,11.064000,11.064000,1,33.192000,0.856602,34.048602,8566021.000000
13,3,4,SUCCESS,2,14.271000,14.271000,14.271000,25.751000,0.000000,0.000000,11.480000,11.480000,11.480000,1,34.440000,1.695288,36.135288,16952882.000000
8,2,4,SUCCESS,2,14.091000,13.961000,14.091000,26.010000,0.130000,0.000000,11.919000,11.919000,11.919000,1,35.757000,1.682580,37.439580,16825800.000000
1,0,4,SUCCESS,2,13.851000,0.210000,13.851000,27.962000,13.641000,0.000000,14.111000,14.111000,14.111000,1,42.333000,1.256609,43.589609,12566086.000000
9,0,4,SUCCESS,2,27.962000,27.962000,27.962000,39.562000,0.000000,0.000000,11.600000,11.600000,11.600000,1,34.800000,1.689199,36.489199,16891988.000000
11,1,4,SUCCESS,2,27.962000,27.962000,27.962000,39.663000,0.000000,0.000000,11.701000,11.701000,11.701000,1,35.103000,1.696354,36.799354,16963536.000000
5,2,4,SUCCESS,2,27.962000,27.962000,27.962000,39.663000,0.000000,0.000000,11.701000,11.701000,11.701000,1,35.103000,1.708731,36.811731,17087306.000000
6,3,4,SUCCESS,2,27.962000,27.962000,27.962000,39.663000,0.000000,0.000000,11.701000,11.701000,11.701000,1,35.103000,1.699310,36.802310,16993103.000000
12,0,4,SUCCESS,2,39.562000,27.962000,39.562000,51.292000,11.600000,0.000000,11.730000,11.730000,11.730000,1,35.190000,1.696445,36.886445,16964447.000000
7,1,4,SUCCESS,2,39.663000,27.962000,39.663000,51.655000,11.701000,0.000000,11.992000,11.992000,11.992000,1,35.976000,1.692090,37.668090,16920903.000000
14,0,4,SUCCESS,2,51.655000,51.655000,51.655000,52.402000,0.000000,0.000000,0.747000,0.747000,0.747000,1,2.241000,0.041081,2.282081,410810.000000
15,0,4,SUCCESS,2,52.402000,52.402000,52.402000,53.822000,0.000000,0.000000,1.420000,1.420000,1.420000,1,4.260000,0.000299,4.260299,2991.000000
16,0,4,SUCCESS,2,53.822000,53.822000,53.822000,64.767000,0.000000,0.000000,10.945000,10.945000,10.945000,1,32.835000,1.666106,34.501106,16661057.000000
17,1,4,SUCCESS,2,53.822000,53.822000,53.822000,65.018000,0.000000,0.000000,11.196000,11.196000,11.196000,1,33.588000,1.666763,35.254763,16667629.000000
20,2,4,SUCCESS,2,53.822000,53.822000,53.822000,65.135000,0.000000,0.000000,11.313000,11.313000,11.313000,1,33.939000,1.662260,35.601260,16622601.000000
18,3,4,SUCCESS,2,53.822000,53.822000,53.822000,65.245000,0.000000,0.000000,11.423000,11.423000,11.423000,1,34.269000,1.667916,35.936915,16679155.000000
19,0,4,SUCCESS,2,64.767000,53.822000,64.767000,76.253000,10.945000,0.000000,11.486000,11.486000,11.486000,1,34.458000,1.668999,36.126999,16689989.000000
21,0,4,SUCCESS,2,76.253000,76.253000,76.253000,80.421000,0.000000,0.000000,4.168000,4.168000,4.168000,1,12.504000,4.167392,16.671392,41673922.000000
22,0,4,SUCCESS,2,80.421000,80.421000,80.421000,83.451000,0.000000,0.000000,3.030000,3.030000,3.030000,1,9.090000,9.302113,18.392113,93021131.000000
23,0,4,SUCCESS,2,83.451000,83.451000,83.451000,93.512000,0.000000,0.000000,10.061000,10.061000,10.061000,1,30.183000,9.488036,39.671036,94880357.000000
24,0,4,SUCCESS,2,93.512000,93.512000,93.512000,94.086000,0.000000,0.000000,0.574000,0.574000,0.574000,1,1.722000,0.206599,1.928598,2065985.000000
