taskId,jobId,vmId,jobStatus,jobStatusName,taskStatus,taskStatusName,depth,lengthMi,startTime,finishTime,duration,exactJobTiming
1,0,2,4,SUCCESS,4,SUCCESS,1,13390,0.491000,13.881000,13.390000,false
4,3,3,4,SUCCESS,4,SUCCESS,1,13600,0.491000,14.091000,13.600000,false
5,4,0,4,SUCCESS,4,SUCCESS,1,13780,0.491000,14.271000,13.780000,false
2,1,1,4,SUCCESS,4,SUCCESS,1,13830,0.491000,14.321000,13.830000,false
6,5,3,4,SUCCESS,4,SUCCESS,2,10590,15.492000,26.082000,10.590000,false
8,7,1,4,SUCCESS,4,SUCCESS,2,10880,15.493000,26.373000,10.880000,false
3,2,2,4,SUCCESS,4,SUCCESS,1,13360,14.162000,27.522000,13.360000,false
7,6,3,4,SUCCESS,4,SUCCESS,2,10590,27.193000,37.783000,10.590000,false
12,11,1,4,SUCCESS,4,SUCCESS,2,10510,27.485000,37.995000,10.510000,false
14,13,2,4,SUCCESS,4,SUCCESS,2,10370,28.632000,39.002000,10.370000,false
9,8,0,4,SUCCESS,4,SUCCESS,2,10810,28.631000,39.441000,10.810000,false
13,12,1,4,SUCCESS,4,SUCCESS,2,10620,39.105000,49.725000,10.620000,false
11,10,2,4,SUCCESS,4,SUCCESS,2,10510,39.556000,50.066000,10.510000,false
10,9,0,4,SUCCESS,4,SUCCESS,2,10490,40.551000,51.041000,10.490000,false
15,14,3,4,SUCCESS,4,SUCCESS,3,720,51.068000,51.788000,0.720000,false
16,15,0,4,SUCCESS,4,SUCCESS,4,1420,51.788000,53.208000,1.420000,true
17,16,2,4,SUCCESS,4,SUCCESS,5,10390,53.763000,64.153000,10.390000,false
18,17,3,4,SUCCESS,4,SUCCESS,5,10640,53.764000,64.404000,10.640000,false
21,20,1,4,SUCCESS,4,SUCCESS,5,10760,53.761000,64.521000,10.760000,false
19,18,0,4,SUCCESS,4,SUCCESS,5,10830,53.762000,64.592000,10.830000,false
20,19,3,4,SUCCESS,4,SUCCESS,5,10930,64.960000,75.890000,10.930000,false
22,21,0,4,SUCCESS,4,SUCCESS,6,1390,78.668000,80.058000,1.390000,false
23,22,0,4,SUCCESS,4,SUCCESS,7,3030,80.058000,83.088000,3.030000,true
24,23,0,4,SUCCESS,4,SUCCESS,8,3860,89.289000,93.149000,3.860000,false
25,24,0,4,SUCCESS,4,SUCCESS,9,450,93.273000,93.723000,0.450000,false
